"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8010","Verify if main table in legal-search section is visible","chromium","2025-10-23","passed","2025-10-23","Legal Upload","legalsearch.spec.ts","",""
"","11399","Verify if all the 3 files are searchable in the legal search section","chromium","2025-10-23","passed","2025-10-23","Legal Search","legalsearch.spec.ts","",""
"","9945","Verify if the download functionality is working as expected","chromium","2025-10-23","passed","2025-10-23","Legal Upload","legalsearch.spec.ts","",""
"","10271","Verify if the search functionality is working as expected","chromium","2025-10-23","passed","2025-10-23","Legal Upload","legalsearch.spec.ts","",""
"","8643","Verify if the legal search button is clickable and redirects to search page","chromium","2025-10-23","passed","2025-10-23","Legal Upload","legalsearch.spec.ts","",""
"","11273","Verify if the upload functionality is working as expected","chromium","2025-10-23","passed","2025-10-23","Legal Upload","legalsearch.spec.ts","",""
